comment,label
অসহায়দের সরকার যেমন অবহেলা করে তেমনি বেশির ভাগ বিত্তশালীরাও এড়িয়ে চলে।,4
শীতকাল এসব গরীব অসহায় মানুষের জন্য দূর্ভোগ বয়ে নিয়ে আসে।,4
:v পাচা,1
অনেক সুন্দর,0
কোন মালউন আসলে মাইর একটু এক্সট্রা বেশি দিতে হবে। কারন ভারতে  হিন্দুরা মুসলমানদের কিছু হইলেই শহীদ করে ফেলে।,3
গরুখোর সন্ত্রাসী মুসল্মান,3
ভাল লাগিনি।,2
এই ছবিটা কিতা তোমরার ইসলামপুরের বাড়িতনি।,2
সালি নাম্বার ওয়ান বাংলার মাগি,1
তিনি পূর্ব ঘোষিত সপ্তাহ ব্যাপি শীতবস্ত্র বিতরণ কর্মসূচির অংশ হিসেবে ছাত্রশিবির ঢাকা মহানগরী পশ্চিম আয়োজিত দরিদ্র ও অসহায় ছাত্রদের মাঝে শীতবস্ত্র বিতরণ অনুষ্ঠানে প্রধান অতিথির বক্তব্যে এসব কথা বলেন।,4
খানকি এক টা,1
পরির সেক্স ভিডিও বের হইছে।।।,1
তোর চৌদ বৌ আকাশের পরি,1
বাইদ দা,2
বালের মুভি।,2
শুভসকাল,0
সন্ত্রাসের ধর্ম ইসলাম,3
তিন জনের ছবি খুব সুন্দর হয়েছে।,0
হুজুরের সব গার্লফ্রেন্ড যখন একসাথে,3
এখনো তার ব্যতিক্রম হবে না। আমরা বিশ্বাস করি বাতিল পন্থা সময়ের ব্যবধানে আদর্শিক শক্তির কাছে অবশ্যই পরাজিত হবে।,4
আমরা এই বাস্তবতাকে সামনে রেখে এগিয়ে যাওয়ার ব্যপারে দৃঢ় প্রতিজ্ঞ।,4
সব মালু দের উচিৎ শিক্ষা দেওয়া দরকার,3
কোন খাবার গুলো খেলে পুরুষাঙ্গ মোটা হয়,1
কাপর খুল পোষ্ট কর পকি মনি,1
জাতির প্রত্যাশা পূরণে ছাত্রশিবির তার ঐতিহাসিক ভূমিকা পালন করে যাবে।,4
যেখানে মালু আছে সেখানে দাঙা হাঙামা হবেই মাদারচোদ মালুরা মানুষের মধ্যে পড়েনা।,3
"তুমি সুন্দর তাই চেয়ে থাকি প্রিয়, সেকি মোর অপরাধ...",0
এই প্রচেষ্টা জাতিকে একটি সত্য ও ন্যায় প্রতিষ্ঠায় দূর্জয় কাফেলা উপহার দিতে সক্ষম হয়েছে।,4
ইনশাআল্লাহ পারবে।,0
আপু দারুন লাগছে,0
শুধু  সৈন্দর্য প্রদর্শন করা ঠিক না. সৃষ্টিকর্তার কাজও কিছু করা দরকার,0
"শিবির সভাপতি বলেন, জাতির এক ঐতিহাসিক প্রয়োজনে ছাত্রশিবিরের পথ চলা শুরু হয়েছিল।",4
কেমন আছেন??,0
অনেক সুন্দর লাগছে আপু ধন্যবাদ,0
হিন্দু মালু সরকারের আমলে আরও কত কিছুই হবে ।,3
একই সাথে তা জাতির প্রত্যাশা। সকল প্রতিকূলতাকে মোকাবেলা করে ছাত্রশিবির জাতির প্রত্যাশা পূরণে ঐতিহাসিক ভূমিকা পালন করে যাবে।,4
সুন্দর চেহারা নয়.. সুন্দর মনের ভালো কিছু বন্ধু চাই. কেউ থাকলে এড করতে পারো !!,0
বাংলাদেশের বড় খানকি,1
হা হিজরা ভালাই আছি,2
একটি স্পর্শকাতর বিষয়ে এমন দায়িত্বহীন অপপ্রচার অনাকাঙ্খিত ও দু:খজনক।,4
আগের কার বাংলা ছবি দেখলে চুখ বেয়ে পানি পড়তো আর এখন দেখলে নিচে দিয়ে পানি পড়ে।,1
তোমার মেয়ের বাবা কই।।।,2
এখনো পর্যন্ত সেই চ্যালেঞ্জের মোকাবেলা কোন গণমাধ্যম বা পুলিশ কর্মকর্তা করতে পারেনি।,4
রাতে চুদাও দিবেন,1
অারা গম অাছি,0
তোমাকে বিয়ে করতে চাই,0
"নেতৃবৃন্দ বলেন, প্রতিবেদনে উল্লেখিত প্রতিটি ঘটনার ব্যপারে ছাত্রশিবিরের পক্ষ থেকে তথ্য প্রমাণের ভিত্তিতে তাৎক্ষনিক বিবৃতি ও প্রতিবাদ জানানো হয়েছে।",4
ভারতে ৫০ কোটি হিন্দু নাই গরুর বাচ্চা বলে কি না ১২০ কোটি হিন্দু,3
অথচ এ নামের কোন বই ছাত্রশিবিরের প্রকাশনায় কোন কালেই ছিলনা এবং এখনো নেই।,4
সমস্ত হিন্দুয়ানী ইন্ডিয়ানি পন্য বয়কট করুন,3
আর চট্টগ্রামে গ্রেপ্তারকৃত রনির কাছে পাওয়া ’ইমাম মাহদির শত্রু মিত্র’ নামে একটি বইকে শিবিরের প্রকাশিত বই হিসেবে উল্লেখ করে তার সাথে ছাত্রশিবিরকে জড়ানো হয়েছিল।,4
কেন? আর চারদিন পর কি হানিমুন এ যাবেন নি আমার সাথে,1
আপনি নিশ্চয় লক্ষ করবেন এই পিকচার এ কত হাজার লাইক বেশি পরেছে। সুতারাং মনে রাখবেন এই ড্রেসটাই সুন্দর। আশা করব এভাবেই বাকী জীবন চলবেন।,0
নাইস,0
অন্যদিকে সাথী পদ শিবিরের সর্বোচ্চ পদও নয়।,4
যা সম্পূর্ণ মিথ্যাচার। সে শিবির নেতা দূরে থাক সমর্থকও ছিলনা।,4
বাধন আপা আপনার আর কোনো সনতান হইব,2
বানোয়াট প্রতিবদেনে বলা হয়েছে নিহত মারজান শিবির নেতা ছিলেন।,4
বাংলা দেশে যারা নিজেদের কে নাস্তিক দাবিকরে তারা কি সত্যি নাস্তিক নাকি ইসলাম বিদ্ধেশি?,3
মালাউন কা বাচ্চা আবাল তো আচ্ছা।,3
এরা নাস্তিক গিরী শুধু মুসলমানের বিপখ্খে এরা হিন্দু বৌদ্ধ খৃষ্টান আরো ওন্য ধর্মের বিপখ্খে কথা বলেনা এরা হল আসলে হিন্দু খৃষ্টানদের দালাল,3
ভালো,0
গরুর মুত খাইলে ত ভাই সব হাতছাড়া হবে,3
পরি মনি তোর দুইটা গালে১০০.০০০০০জুতার বাড়ি যদি পা দেখাও।,2
সুখ তো সবার জন্য নই..!!,0
